xcoef_std_m1_age_gmv,xcoef_std_m2_read_gmv,xloading_m1_age_gmv,xloading_m2_read_gmv
-0.0914872,-0.014623879,-0.506236456,-0.506988132
-0.089717109,-0.038188034,-0.486543812,-0.544509933
-0.098893449,-0.027769512,-0.513031625,-0.521937496
-0.069547359,-0.01431618,-0.501099952,-0.514014887
-0.022270956,-0.014850935,-0.401448209,-0.522738213
-0.063093923,-0.004868128,-0.452464908,-0.504239258
-0.083519582,-0.041602462,-0.509941996,-0.540431507
-0.066925772,-0.050419974,-0.475093835,-0.548993391
-0.111124488,-0.054367847,-0.508913962,-0.574947675
-0.086456811,-0.061571311,-0.484367208,-0.584101656
-0.097380692,0.024905991,-0.468555824,-0.434870998
-0.115664756,0.02967344,-0.458685783,-0.44508949
-0.023752097,-0.008817401,-0.318735551,-0.442979915
0.008238389,-0.034839447,-0.292175297,-0.468779392
-0.087326752,0.009152,-0.460247676,-0.463463381
-0.123694937,0.025956964,-0.497052168,-0.45331296
-0.090103075,-0.054848159,-0.47889519,-0.544614908
-0.060638881,-0.044458666,-0.470115972,-0.543576222
0.004859189,-0.008473618,-0.343609241,-0.472773506
-0.08455237,-0.004039804,-0.435658639,-0.486084519
-0.044247401,-0.021740338,-0.417786773,-0.515734656
-0.089168448,-0.016514469,-0.453388428,-0.525876823
-0.146283019,-0.038453712,-0.534926467,-0.515157191
-0.07361364,-0.030089672,-0.461340451,-0.521990154
-0.096307179,-0.053927156,-0.515411695,-0.545795482
-0.077469135,-0.058304263,-0.498885301,-0.562243802
0.051182822,-0.112558772,-0.223821041,-0.586424787
0.0247131,-0.183987211,-0.249645629,-0.625573146
-0.002519833,-0.032649926,-0.372393071,-0.556055697
-0.021231611,-0.035511349,-0.417365848,-0.564496338
-6.43E-05,-0.015997729,-0.362578464,-0.514752242
-0.018545112,-0.013073174,-0.398197425,-0.519360202
0.024761501,-0.02390978,-0.258759099,-0.521217055
-0.001199787,-0.0343191,-0.315920245,-0.558216628
0.010872506,-0.011225223,-0.290910865,-0.48795605
-0.019691615,-0.027007332,-0.340513941,-0.531859775
0.012184044,-0.026810303,-0.314576409,-0.561847518
-0.012630029,-0.036197881,-0.351077271,-0.576155017
0.032422384,-0.031323851,-0.221525478,-0.567622364
0.026576643,-0.037863651,-0.243383605,-0.598283815
0.062583872,-0.090261615,-0.093694573,-0.596427704
0.05488313,-0.106698661,-0.135982105,-0.611897569
0.003581433,-0.02218026,-0.302552658,-0.519890142
-0.030343293,-0.034810566,-0.349774016,-0.541206433
0.009057877,-0.009412784,-0.263707116,-0.516231041
-0.039770212,-0.053882403,-0.278068642,-0.559535675
0.091555229,-0.112294739,-0.016822025,-0.544526499
0.114928233,-0.18958276,-0.036409514,-0.610933714
0.075697633,0.012047842,-0.134301211,-0.494498478
0.067432326,0.003675374,-0.0807101,-0.481256047
0.000911992,-0.0249792,-0.318429411,-0.540678214
-0.03311946,-0.033131366,-0.373346121,-0.563889173
-0.045558721,-0.109704837,-0.415943409,-0.661705898
0.013875701,-0.067668818,-0.326755651,-0.657974975
-0.126055154,-0.064759712,-0.547019165,-0.578848871
-0.131277968,-0.101306699,-0.511158401,-0.605335249
-0.085970497,-0.065193292,-0.461695916,-0.604026976
-0.079382409,-0.056298421,-0.478948276,-0.603727659
-0.056736015,-0.01834701,-0.494627185,-0.480060445
-0.070103464,-0.032314609,-0.465223726,-0.54670276
0.060652366,-0.047653767,-0.158630925,-0.61423547
0.051534086,-0.050042134,-0.185548412,-0.627765042
0.002231174,-0.114576777,-0.372222739,-0.63460904
0.0255494,-0.105121735,-0.344137402,-0.643769129
-0.043267018,-0.02743054,-0.40722641,-0.593475885
-0.025999408,-0.049160683,-0.334390373,-0.660496654
-0.08238871,-0.057559873,-0.44384164,-0.604722855
-0.090255817,-0.073876706,-0.425855269,-0.617276507
0.001927448,-0.075220324,-0.345441477,-0.473904651
-0.015646493,-0.101449322,-0.369798147,-0.513492445
0.041559614,-0.021999609,-0.179791382,-0.559183623
0.052664105,-0.008630931,-0.120967105,-0.55397521
0.105855171,-0.050627714,-0.13439861,-0.598766167
0.094859115,-0.036053885,-0.171686623,-0.578501947
-0.022213342,-0.009537456,-0.346026042,-0.545365297
0.005260526,-0.000676292,-0.293639427,-0.531727296
-0.021845765,-0.031430269,-0.382336287,-0.473697395
-0.038751057,-0.051465593,-0.402908077,-0.501079601
-0.004227064,-0.008564762,-0.336079034,-0.498575583
0.009766077,-0.006910288,-0.283662886,-0.551565645
-0.035040843,0.010304408,-0.404091072,-0.512148584
-0.025424739,0.020377934,-0.360699961,-0.516245759
-0.064544766,0.007012216,-0.459106532,-0.444367613
-0.100348711,-0.042675181,-0.47692279,-0.480420835
-0.065884467,-0.009900889,-0.422329542,-0.520023745
-0.027335508,-0.021608446,-0.353141628,-0.557109979
-0.027001477,0.021714409,-0.350609731,-0.493505403
0.006295467,0.032201723,-0.321361495,-0.513753079
-0.002542966,-0.015035827,-0.314510373,-0.574005697
-0.006867566,-0.012386133,-0.383779246,-0.540052527
-0.015612153,-0.023644679,-0.354012866,-0.553490709
-0.005557696,0.001414103,-0.317286253,-0.468849439
-0.037281548,-0.014035194,-0.440660706,-0.448585424
-0.031926094,-0.040440436,-0.438864433,-0.492933845
-0.032984374,0.010671763,-0.429295578,-0.450172333
-0.042859506,-0.0085845,-0.447422817,-0.475602384
-0.036835825,-0.025114218,-0.399940205,-0.554065932
-0.007831516,-0.012672019,-0.340205857,-0.537938524
-0.024007595,-0.012888673,-0.327562443,-0.531767495
-0.003449529,0.005770883,-0.273821868,-0.49040683
-0.027748219,-0.006764155,-0.341210872,-0.529779886
0.010802287,-0.005872852,-0.233056456,-0.528734392
-0.00225006,-0.082765121,-0.353431947,-0.592786396
-0.013297422,-0.133045129,-0.35687678,-0.617718758
-0.042157326,-0.103316686,-0.360420544,-0.623938608
-0.031665734,-0.025901142,-0.325253479,-0.525070847
-0.012404364,-0.126460316,-0.292291918,-0.616259525
0.034523842,-0.03085149,-0.244926944,-0.541033677
0.003557452,-0.014124769,-0.306297192,-0.54123102
0.00229272,-0.019137329,-0.288684389,-0.581039286
0.001379073,-0.011211737,-0.172171619,-0.550042685
0.007312619,-0.01373294,-0.12554961,-0.545980498
0.008343368,-0.015452127,-0.119987066,-0.59303318
0.010867398,-0.00883606,-0.059758402,-0.527480054
-0.004554833,-0.013269282,-0.299757683,-0.55348972
-0.003534844,-0.010920907,-0.289741086,-0.528017218
0.004499056,-0.009278428,-0.267829002,-0.513634927
-0.005247653,-0.02166792,-0.357539348,-0.529234319
-0.006134923,-0.009819308,-0.326794421,-0.581132377
0.001122268,-0.015870539,-0.200130122,-0.580664768
-0.005843765,-0.016515885,-0.288885696,-0.530254139
0.021621893,-0.010669013,-0.214855059,-0.516293958
-0.015377384,-0.021865266,-0.335957754,-0.546757897
0.007564524,-0.009029011,-0.262106203,-0.5448391
-0.071243566,0.005594903,-0.484553738,-0.489503421
-0.103395492,-0.002711481,-0.487338653,-0.512000665
-0.053624966,0.004068589,-0.419370125,-0.501318554
-0.082061417,-0.001523378,-0.466918903,-0.513335541
-0.048467435,-0.034841689,-0.388424131,-0.574189771
-0.037510493,-0.025982091,-0.386763212,-0.574502683
-0.089097954,-0.011122393,-0.495717277,-0.537336061
-0.076167572,-0.010529799,-0.469829486,-0.544009929
-0.034321162,-0.015246619,-0.388233289,-0.552905412
-0.03776025,-0.026376689,-0.378320972,-0.574629707
0.019915482,-0.0116649,-0.331660616,-0.515326304
0.022699939,-0.07559045,-0.305759685,-0.564132817
-0.10316072,-0.000401314,-0.438948956,-0.494697352
-0.139719298,-0.040149752,-0.454307819,-0.549059164
-0.147227951,-0.076190206,-0.43548137,-0.574277361
-0.111760765,-0.077991926,-0.387118045,-0.583862761
-0.132076631,-0.024897956,-0.411060081,-0.51428771
-0.142529132,-0.04753347,-0.398684486,-0.548280924
-0.082938801,-0.061475212,-0.385723843,-0.540846093
-0.058487713,-0.092542295,-0.356081005,-0.578336477
0.147990916,-0.071524214,-0.154562292,-0.582190467
0.153827393,-0.052936175,-0.176832025,-0.568477637
-0.035523242,-0.009738671,-0.363012282,-0.547596888
-0.060737713,-0.012713913,-0.408607626,-0.548896061
-0.049453592,-0.034756976,-0.357680283,-0.592870227
-0.049919587,-0.038865452,-0.352661334,-0.607932381
0.057506514,-0.192597272,-0.239841349,-0.744656254
0.049742036,-0.284407384,-0.267764634,-0.78683848
0.022536077,-0.136388961,-0.202221699,-0.681884191
0.035075787,-0.188602188,-0.192003642,-0.701216334
-0.081643726,-0.115478002,-0.42306025,-0.658067515
-0.038966178,-0.122877379,-0.380080766,-0.663824164
0.095848127,-0.072772406,-0.135629326,-0.63670563
0.101528619,-0.057832827,-0.142876549,-0.632465297
-0.115928371,-0.075002289,-0.466157683,-0.60437482
-0.052457588,-0.091572405,-0.381746473,-0.651199993
-0.111512703,-0.04238656,-0.453495261,-0.550223464
-0.088334715,-0.027190934,-0.476149464,-0.549638005
0.076380774,-0.026294278,-0.000968839,-0.57436475
0.059799817,-0.011602233,-0.001721135,-0.540729964
0.006688984,-0.018770107,-0.276222087,-0.57579137
0.000767085,-0.01853658,-0.293387916,-0.56739845
0.007690799,-0.015576926,-0.255933109,-0.55222491
0.00391781,-0.018316386,-0.277295763,-0.584893129
0.019935367,-0.019938466,-0.210636813,-0.591257295
0.02508362,-0.026747957,-0.201457742,-0.592949305
0.057407192,-0.028346128,-0.045600561,-0.600401919
0.058958601,-0.018963432,-0.008358136,-0.572893751
0.050940596,-0.039040606,-0.140532335,-0.601141693
0.04392616,-0.02568771,-0.105574462,-0.574968499
-0.015364264,-0.082513189,-0.238694145,-0.667211668
-0.013981941,-0.077301644,-0.239532583,-0.668872298
-0.014577983,-0.018614116,-0.296619798,-0.580888649
-0.004658827,-0.022612726,-0.24556041,-0.588929728
-0.023242206,-0.023800717,-0.301392436,-0.55249653
-0.043675461,-0.021169763,-0.356231898,-0.556755246
-0.029121566,-0.060385101,-0.389875789,-0.685783376
-0.031654396,-0.055631986,-0.378081432,-0.67410933
-0.057282278,-0.038250821,-0.39723293,-0.595144259
-0.031987034,-0.039668159,-0.377674467,-0.625152372
-0.085024851,-0.077012661,-0.353469499,-0.624989443
-0.046146215,-0.086024263,-0.319129415,-0.663768219
0.075618785,-0.039920315,-0.148501109,-0.559871438
-0.010771902,-0.02848367,-0.266795061,-0.559103011
-0.09881846,-0.043905057,-0.465856165,-0.57554249
-0.165455634,0.019230886,-0.510474875,-0.402668725
-0.02061701,-0.157821258,-0.302853287,-0.662783297
0.020317522,-0.210410996,-0.262403492,-0.700893051
-0.167216435,-0.021552126,-0.466730642,-0.466908329
-0.092551298,0.00294602,-0.400290508,-0.442058408
-0.044937536,-0.128215803,-0.356742237,-0.664377853
-0.064952642,-0.10964333,-0.335458174,-0.596717444
0.078001719,-0.261910776,-0.249990023,-0.754803807
0.052173737,-0.315694369,-0.267685668,-0.798726134
-0.029749871,-0.020476567,-0.314842064,-0.478294165
-0.045138356,0.047366455,-0.304239958,-0.350120942
0.003558274,-0.066304439,-0.332873061,-0.56995056
0.039837461,-0.061094759,-0.268225722,-0.526758711
-0.273478108,0.024343292,-0.507382781,-0.44457934
-0.272220644,0.179077448,-0.459261496,-0.251379824
-0.163969243,-0.047928976,-0.439576623,-0.49224615
-0.095062146,0.05583983,-0.370778442,-0.375258867
-0.02395998,-0.047515108,-0.320386393,-0.525837843
-0.053531446,-0.055793593,-0.369792039,-0.553041231
0.028200225,-0.036297096,-0.263973257,-0.545450181
-0.028321645,-0.060991952,-0.356472097,-0.565710841
0.004501101,-0.016514325,-0.251365196,-0.583833745
0.011662988,-0.027981354,-0.18113659,-0.592026454
0.001398071,-0.007002595,-0.272053203,-0.563836722
0.005174892,-0.013566642,-0.234435682,-0.589882813
0.027125665,-0.06317352,-0.198348572,-0.584066242
0.032653986,-0.061333501,-0.148587655,-0.588295574
0.015082849,-0.065315294,-0.223777896,-0.606388123
0.050325409,-0.071012125,-0.177739587,-0.612023784